soru1,soru2,soru3,soru4,soru5,soru6,soru7,soru8,soru9,soru10,soru11,soru12,soru13,soru14,soru15,soru16,cluster
Lisans,5,Online kurslar ve eğitim platformları,Haftalık veya günlük ödevler,Yapay Zeka ve Makine Öğrenimi,5,5,Python,5,Mobil Uygulama Geliştirme,Google Cloud,5,5,Udemy,TV,5,5
Lisans,5,Sosyal medya ve profesyonel ağlar,Haftalık veya günlük ödevler,Yapay Zeka ve Makine Öğrenimi,5,5,Objective-C,5,Robotik ve Otomasyon,Microsoft Azure,5,5,Udemy,sosyal medya,5,1
Lisans,5,Kitaplar ve yayınlar,Canlı quizler,Yazılım Güvenliği,4,3,R,3,Bulut Bilişim ve DevOps,Amazon Web Services (AWS),4,4,Freecoding,TV,4,8
Yüksek lisans,5,Sosyal medya ve profesyonel ağlar,Proje tabanlı öğrenme,Yapay Zeka ve Makine Öğrenimi,5,5,C#,3,Bulut Bilişim ve DevOps,IBM Cloud,5,5,Code Academy,reklam,5,1
Doktora programı,3,Konferansları ve etkinlikler,Proje tabanlı öğrenme,Yazılım Test Otomasyonu,5,4,Python,5,Yapay Zeka ve Makine Öğrenimi,Google Cloud,5,4,LinkedIn Learning,TV,5,6
Ön lisans,2,Konferansları ve etkinlikler,Canlı quizler,Yazılım Güvenliği,5,5,Objective-C,5,Bulut Bilişim ve DevOps,Google Cloud,5,5,Udemy,reklam,5,7
Lisans,5,Konferansları ve etkinlikler,Haftalık veya günlük ödevler,Veri Bilimi ve Büyük Veri Analitiği,5,5,Python,5,Robotik ve Otomasyon,Microsoft Azure,5,5,Coursera,reklam,5,1
Lisans,5,Sosyal medya ve profesyonel ağlar,Grup projeleri,Bulut Bilişim ve DevOps,5,4,Swift,5,Bulut Bilişim ve DevOps,Google Cloud,5,5,edX,TV,5,5
Ön lisans,2,Kitaplar ve yayınlar,Proje tabanlı öğrenme,Veri Bilimi ve Büyük Veri Analitiği,2,3,C#,4,Yapay Zeka ve Makine Öğrenimi,Amazon Web Services (AWS),5,5,Coursera,reklam,5,10
Ön lisans,4,Online kurslar ve eğitim platformları,Proje tabanlı öğrenme,Yapay Zeka ve Makine Öğrenimi,5,5,C++,5,Yazılım Test Otomasyonu,Oracle Cloud Infrastructure (OCI),5,5,Freecoding,reklam,5,1
Lisans,5,Online kurslar ve eğitim platformları,Haftalık veya günlük ödevler,Veri Bilimi ve Büyük Veri Analitiği,5,5,C#,5,Yapay Zeka ve Makine Öğrenimi,Microsoft Azure,5,5,Code.org,reklam,5,1
